CODIGO	X	Y	BIO6	BIO16	disturb	SWIslope	prego	psemnat	ppovfor	dredhi	rusacu
29TNG6344	563500.003	4644500	28	542	553.321	1.80159	0	91.1398	11.8832	2.1349	1
29TNG6351	563500.003	4651500	10	616	1776.43	1.8344	59.9812	97.7667	0	1.46644	0
29TNG6438	564500.003	4638500	31	526	693.498	1.45412	100	72.7949	2.05244	3.60487	1
29TNG6447	564500.003	4647500	20	580	187.969	2.08682	0	76.8877	5.12754	2.06813	1
29TNG6516	565500.003	4616500	32	518	560.365	1.87699	92.3086	93.582	34.5245	0.823619	1
29TNG6517	565500.003	4617500	36	495	826.771	1.7425	84.2967	57.2153	30.3747	2.59629	1
29TNG6518	565500.003	4618500	32	515	805.554	1.83075	100	56.7563	5.58405	2.9656	1
29TNG6519	565500.003	4619500	32	518	1040.43	1.82368	98.9957	67.9959	12.7533	2.28508	1
29TNG6520	565500.003	4620500	29	532	254.39	1.46794	86.8581	60.9301	13.9093	2.56623	1
29TNG6550	565500.003	4650500	13	605	2466.84	1.73156	0	68.1672	0	1.12985	0
29TNG6615	566500.003	4615500	36	493	184.673	1.70366	51.121	58.0226	48.7507	3.47158	1
29TNG6616	566500.003	4616500	40	471	365.601	1.56246	37.3023	42.4689	18.5139	4.42356	1
29TNG6617	566500.003	4617500	38	481	1181.08	1.6138	89.3015	80.2366	17.9423	2.79445	1
29TNG6624	566500.003	4624500	29	533	885.707	1.52569	42.1319	22.0671	0.232363	56.1054	1
29TNG6630	566500.003	4630500	5	635	4326.21	1.21151	23.4933	92.6601	0	1.35972	0
29TNG6631	566500.003	4631500	6	631	3481.87	1.28277	16.5512	88.0653	3.04316	1.12451	0
29TNG6632	566500.003	4632500	11	613	2544.76	1.42457	91.9299	88.9879	0	0.947053	0
29TNG6655	566500.003	4655500	16	586	184.098	0.736094	90.5638	54.3164	0	1.98137	0
29TNG6729	567500.003	4629500	6	630	5409.35	1.82318	0	86.7081	0	1.15826	0
29TNG6747	567500.003	4647500	16	588	561.768	1.54898	0	88.8564	0.998656	2.14696	0
29TNG6756	567500.003	4656500	11	601	719.24	1.70359	8.90955	92.5735	0	1.72652	0
29TNG6829	568500.003	4629500	11	609	5701.07	1.88361	0	96.6979	0	1.31804	0
29TNG6830	568500.003	4630500	16	590	4978.52	1.97118	0	92.5452	18.6521	1.33779	0
29TNG6832	568500.003	4632500	22	558	3213.35	1.80204	22.8174	85.9297	13.1348	2.12668	1
29TNG6833	568500.003	4633500	24	542	2467.72	2.03886	21.748	82.4335	8.12414	1.83576	1
29TNG6848	568500.003	4648500	17	579	533.953	1.31737	0	92.9682	0	1.05677	0
29TNG6855	568500.003	4655500	11	600	520.731	1.61628	28.545	87.9029	0	2.84275	0
29TNG6856	568500.003	4656500	9	604	321.518	1.47871	91.1206	67.9449	0	2.26568	0
29TNG6925	569500.003	4625500	18	573	2901.04	1.92842	0	80.7495	2.49471	4.58792	1
29TNG6926	569500.003	4626500	26	536	3626.28	1.72289	0	10.3818	0	48.6085	1
29TNG6949	569500.003	4649500	19	563	250.37	1.44611	7.52695	48.2166	0	1.83942	0
29TNG6951	569500.003	4651500	18	566	438.222	1.39582	21.371	53.4353	0	2.04143	0
29TNG6953	569500.003	4653500	12	594	203.291	1.44994	38.0267	78.3965	0	1.85731	0
29TNG6954	569500.003	4654500	13	590	344.315	0.962911	35.9345	85.8792	0	2.31521	0
29TNG6955	569500.003	4655500	13	592	151.662	1.02631	93.5369	43.7248	0	2.18188	0
29TNG6957	569500.003	4657500	5	618	1172.58	0.654553	100	100	0	0.965882	0
29TNG7019	570500.003	4619500	23	550	578.275	1.47944	97.5961	97.0183	93.288	2.06393	1
29TNG7022	570500.003	4622500	19	571	1347.13	1.87922	43.1548	65.1067	37.9746	2.36906	1
29TNG7023	570500.003	4623500	11	609	2307.66	1.94067	16.3539	73.1246	29.4661	2.20489	0
29TNG7027	570500.003	4627500	26	531	5029.25	1.91321	0	30.1978	5.13573	11.4687	1
29TNG7052	570500.003	4652500	12	590	313.518	1.74853	16.9918	76.348	0	1.62316	0
29TNG7120	571500.003	4620500	14	593	1358.69	1.60754	7.12817	85.1828	14.5897	2.62484	0
29TNG7123	571500.003	4623500	8	616	2665.11	1.40878	0	66.2654	0	1.63606	0
29TNG7124	571500.003	4624500	13	596	3552.86	1.5364	0	45.2889	5.14417	0.94885	0
29TNG7125	571500.003	4625500	17	577	4439.18	1.84428	0	49.0943	12.8896	1.6089	0
29TNG7127	571500.003	4627500	23	546	5718.04	1.80958	0	29.8808	13.2605	3.19116	1
29TNG7153	571500.003	4653500	9	599	177.313	1.25555	100	29.8932	0	2.22533	0
29TNG7154	571500.003	4654500	6	608	300.27	1.14578	100	68.4015	0.792549	1.62283	0
29TNG7156	571500.003	4656500	6	606	264.701	1.07674	100	60.6934	0	2.39568	0
29TNG7224	572500.003	4624500	9	607	4047.74	1.80773	0	78.7015	0	2.37752	0
29TNG7227	572500.003	4627500	13	594	6481.47	1.786	0	29.2947	0	2.34391	1
29TNG7228	572500.003	4628500	19	565	7129.94	1.82315	0	46.4307	1.16435	3.14396	1
29TNG7253	572500.003	4653500	4	614	178.965	0.82372	100	35.724	3.22709	1.35408	0
29TNG7323	573500.003	4623500	-2	649	4059.84	1.64588	0	100	0	2.10322	0
29TNG7324	573500.003	4624500	-3	650	4704.59	1.7985	0	82.5595	0	2.62657	0
29TNG7327	573500.003	4627500	6	617	7115.72	1.64593	0	92.1846	0	3.00125	0
29TNG7328	573500.003	4628500	14	585	7875.83	2.11719	0	75.4619	0	3.12632	0
29TNG7353	573500.003	4653500	1	619	410.976	0.798357	100	64.628	7.5428	1.8508	0
29TNG7428	574500.003	4628500	12	589	8484.07	2.02155	0	85.55	0	3.39204	0
29TNG7527	575500.003	4627500	7	605	8259.79	2.32441	0	93.2664	0	1.81043	0
29TNG7528	575500.003	4628500	4	618	9041.8	2.19426	0	88.4338	0	2.62434	0
29TNG7628	576500.003	4628500	-3	642	9669.76	2.20961	0	91.1153	0	2.72225	0
29TNG7728	577500.003	4628500	-6	648	10356.4	1.85835	0	99.3989	0	1.9545	0
